,label,youtube_id,time_start,time_end,split,is_cc,video_name
0,abseiling,pF2JgvHZrOs,40,50,train,0,pF2JgvHZrOs_000040_000050.mp4
1,abseiling,0N3Jb5UHg8Y,68,78,train,0,0N3Jb5UHg8Y_000068_000078.mp4
2,abseiling,rJ9bFFtMGMM,4,14,train,0,rJ9bFFtMGMM_000004_000014.mp4
3,abseiling,IhrIfQbdjiM,7,17,train,0,IhrIfQbdjiM_000007_000017.mp4
4,abseiling,yBEJ_4e1-7M,5,15,train,0,yBEJ_4e1-7M_000005_000015.mp4
5,abseiling,EENhxyHcpYM,162,172,train,0,EENhxyHcpYM_000162_000172.mp4
6,abseiling,Aj-fFZx-GLw,172,182,train,0,Aj-fFZx-GLw_000172_000182.mp4
7,abseiling,DYM59HPH9-s,28,38,train,0,DYM59HPH9-s_000028_000038.mp4
8,abseiling,SBEN9in3HZk,3,13,train,1,SBEN9in3HZk_000003_000013.mp4
9,abseiling,m8Pm5kmCuqI,64,74,train,0,m8Pm5kmCuqI_000064_000074.mp4
10,abseiling,Anmq_WzU_Uk,31,41,train,0,Anmq_WzU_Uk_000031_000041.mp4
11,abseiling,zQ8G8D52KG8,38,48,train,0,zQ8G8D52KG8_000038_000048.mp4
12,abseiling,WfTEnPj3R_E,10,20,train,0,WfTEnPj3R_E_000010_000020.mp4
13,abseiling,9kja4yMINUI,152,162,train,0,9kja4yMINUI_000152_000162.mp4
14,abseiling,dxiQHHuWisA,96,106,train,0,dxiQHHuWisA_000096_000106.mp4
15,abseiling,ym-44usN7Ec,16,26,train,0,ym-44usN7Ec_000016_000026.mp4
16,abseiling,RMdk187QnSI,0,10,train,0,RMdk187QnSI_000000_000010.mp4
17,abseiling,MIIbU2xZcUY,32,42,train,0,MIIbU2xZcUY_000032_000042.mp4
18,abseiling,ccvR-ZtPIGs,263,273,train,0,ccvR-ZtPIGs_000263_000273.mp4
19,abseiling,AWp3-Ai1atM,59,69,train,0,AWp3-Ai1atM_000059_000069.mp4
20,abseiling,SiqHAo-wcZE,448,458,train,0,SiqHAo-wcZE_000448_000458.mp4
21,abseiling,RjZzuSL5Vx4,174,184,train,0,RjZzuSL5Vx4_000174_000184.mp4
22,abseiling,NlLzuNVGl8U,40,50,train,0,NlLzuNVGl8U_000040_000050.mp4
23,abseiling,WdztC_jCzwE,65,75,train,0,WdztC_jCzwE_000065_000075.mp4
24,abseiling,r-E5RfA3u38,86,96,train,0,r-E5RfA3u38_000086_000096.mp4
25,abseiling,jMtc0jRpyW8,266,276,train,0,jMtc0jRpyW8_000266_000276.mp4
26,abseiling,kCo-xhw3l_k,221,231,train,0,kCo-xhw3l_k_000221_000231.mp4
27,abseiling,IRX7GTz-89Y,86,96,train,0,IRX7GTz-89Y_000086_000096.mp4
28,abseiling,1g7n_PZzkmg,0,10,train,1,1g7n_PZzkmg_000000_000010.mp4
29,abseiling,Lj6Or6lVccA,109,119,train,0,Lj6Or6lVccA_000109_000119.mp4
30,abseiling,0ULNkPOufBU,60,70,train,0,0ULNkPOufBU_000060_000070.mp4
31,abseiling,-Cv3NwxG_8g,87,97,train,0,-Cv3NwxG_8g_000087_000097.mp4
32,abseiling,jOMaBGcMSqU,6,16,train,1,jOMaBGcMSqU_000006_000016.mp4
33,abseiling,7Ni_HDZv5jc,27,37,train,0,7Ni_HDZv5jc_000027_000037.mp4
34,abseiling,ETTyuQC9TIA,74,84,train,0,ETTyuQC9TIA_000074_000084.mp4
35,abseiling,6WkO9nj7He0,0,10,train,0,6WkO9nj7He0_000000_000010.mp4
36,abseiling,cTAs-juKIB8,33,43,train,0,cTAs-juKIB8_000033_000043.mp4
37,abseiling,-3B32lodo2M,59,69,train,0,-3B32lodo2M_000059_000069.mp4
38,abseiling,N59hvIvRJI4,34,44,train,0,N59hvIvRJI4_000034_000044.mp4
39,abseiling,DF2thKxXqvc,95,105,train,0,DF2thKxXqvc_000095_000105.mp4
40,abseiling,HgOdrOn-dmQ,0,10,train,0,HgOdrOn-dmQ_000000_000010.mp4
41,abseiling,GCzM_sZZvIA,66,76,train,0,GCzM_sZZvIA_000066_000076.mp4
42,abseiling,ck7GOaenxn0,2,12,train,0,ck7GOaenxn0_000002_000012.mp4
43,abseiling,VRNVK63tAlw,9,19,train,0,VRNVK63tAlw_000009_000019.mp4
44,abseiling,CbMeI-XvDHM,29,39,train,0,CbMeI-XvDHM_000029_000039.mp4
45,abseiling,M1QFHoC4o3A,78,88,train,0,M1QFHoC4o3A_000078_000088.mp4
46,abseiling,yIcLV9OmzFM,50,60,train,0,yIcLV9OmzFM_000050_000060.mp4
47,abseiling,oYUaByKM_IU,32,42,train,0,oYUaByKM_IU_000032_000042.mp4
48,abseiling,IcXVFyYx8Gk,494,504,train,0,IcXVFyYx8Gk_000494_000504.mp4
49,abseiling,e_Q667WGYr0,134,144,train,0,e_Q667WGYr0_000134_000144.mp4
50,abseiling,adb9uBF8pec,173,183,train,0,adb9uBF8pec_000173_000183.mp4
51,abseiling,u8Y0WHT1gA0,264,274,train,0,u8Y0WHT1gA0_000264_000274.mp4
52,abseiling,3L60SisVlbI,33,43,train,0,3L60SisVlbI_000033_000043.mp4
53,abseiling,_SSkUUyN_zA,58,68,train,0,_SSkUUyN_zA_000058_000068.mp4
54,abseiling,qRIHnfR-gRg,3,13,train,0,qRIHnfR-gRg_000003_000013.mp4
55,abseiling,DFcDhzpdxL0,34,44,train,0,DFcDhzpdxL0_000034_000044.mp4
56,abseiling,WA-2n5prapE,146,156,train,0,WA-2n5prapE_000146_000156.mp4
57,abseiling,ONXQoDifCLc,50,60,train,0,ONXQoDifCLc_000050_000060.mp4
58,abseiling,CRhya73Txgo,172,182,train,0,CRhya73Txgo_000172_000182.mp4
59,abseiling,dvEr9R6qkuQ,26,36,train,0,dvEr9R6qkuQ_000026_000036.mp4
60,abseiling,yU6JaF6naV8,68,78,train,0,yU6JaF6naV8_000068_000078.mp4
61,abseiling,alc3JF6C4uE,163,173,train,0,alc3JF6C4uE_000163_000173.mp4
62,abseiling,qDkfOLCioGs,36,46,train,0,qDkfOLCioGs_000036_000046.mp4
63,abseiling,zwP5sOfoX2E,715,725,train,0,zwP5sOfoX2E_000715_000725.mp4
64,abseiling,xXEG-3fhGgE,113,123,train,1,xXEG-3fhGgE_000113_000123.mp4
65,abseiling,p_Kg9tMqbeo,0,10,train,0,p_Kg9tMqbeo_000000_000010.mp4
66,abseiling,e_GLdSERefQ,181,191,train,0,e_GLdSERefQ_000181_000191.mp4
67,abseiling,XDHoXdm01Bo,70,80,train,0,XDHoXdm01Bo_000070_000080.mp4
68,abseiling,Z1dAQvR4hSc,140,150,train,0,Z1dAQvR4hSc_000140_000150.mp4
69,abseiling,yWVraWYKJeE,218,228,train,0,yWVraWYKJeE_000218_000228.mp4
70,abseiling,JFDSGdxTNTY,145,155,train,0,JFDSGdxTNTY_000145_000155.mp4
71,abseiling,p6F0rA7G1qs,517,527,train,0,p6F0rA7G1qs_000517_000527.mp4
72,abseiling,0UD6OoOFwqc,78,88,train,0,0UD6OoOFwqc_000078_000088.mp4
73,abseiling,K2b-mOPWebA,205,215,train,0,K2b-mOPWebA_000205_000215.mp4
74,abseiling,2lujXIXQIg0,52,62,train,0,2lujXIXQIg0_000052_000062.mp4
75,abseiling,1Qj6Mu_CpnM,42,52,train,0,1Qj6Mu_CpnM_000042_000052.mp4
76,abseiling,Dgm4OV7de_E,11,21,train,0,Dgm4OV7de_E_000011_000021.mp4
77,abseiling,VboZ8QFvHjI,120,130,train,0,VboZ8QFvHjI_000120_000130.mp4
78,abseiling,eTKXXDATOLc,32,42,train,0,eTKXXDATOLc_000032_000042.mp4
79,abseiling,pdW_enWrcgg,61,71,train,0,pdW_enWrcgg_000061_000071.mp4
80,abseiling,s8VPmwPCF_g,200,210,train,0,s8VPmwPCF_g_000200_000210.mp4
81,abseiling,CWcpEGayCQ0,93,103,train,0,CWcpEGayCQ0_000093_000103.mp4
82,abseiling,tZ-stwBG2rI,0,10,train,0,tZ-stwBG2rI_000000_000010.mp4
83,abseiling,XR6z4XA6myY,137,147,train,0,XR6z4XA6myY_000137_000147.mp4
84,abseiling,DPUdSrSqPX4,23,33,train,0,DPUdSrSqPX4_000023_000033.mp4
85,abseiling,wfY4v2WKP8I,174,184,train,0,wfY4v2WKP8I_000174_000184.mp4
86,abseiling,AmWB0g4snxQ,2,12,train,0,AmWB0g4snxQ_000002_000012.mp4
87,abseiling,F-Zg30cS_pw,3,13,train,0,F-Zg30cS_pw_000003_000013.mp4
88,abseiling,Fgx_XsxBl90,2,12,train,0,Fgx_XsxBl90_000002_000012.mp4
89,abseiling,xZv3db2l-PQ,38,48,train,0,xZv3db2l-PQ_000038_000048.mp4
90,abseiling,YTJdurXZYZY,399,409,train,0,YTJdurXZYZY_000399_000409.mp4
91,abseiling,wcRuXrduj6Q,96,106,train,0,wcRuXrduj6Q_000096_000106.mp4
92,abseiling,3VqrHekUnOE,141,151,train,0,3VqrHekUnOE_000141_000151.mp4
93,abseiling,MP-Op52e84g,176,186,train,0,MP-Op52e84g_000176_000186.mp4
94,abseiling,-tAjeaPhi5s,26,36,train,0,-tAjeaPhi5s_000026_000036.mp4
95,abseiling,BS-5QaLOuy4,73,83,train,0,BS-5QaLOuy4_000073_000083.mp4
96,abseiling,XAZtRAEQzcY,151,161,train,0,XAZtRAEQzcY_000151_000161.mp4
97,abseiling,p0hOw3YslaM,13,23,train,0,p0hOw3YslaM_000013_000023.mp4
98,abseiling,yGA9OkTvvVM,65,75,train,0,yGA9OkTvvVM_000065_000075.mp4
99,abseiling,eNHiZLc3-TY,33,43,train,0,eNHiZLc3-TY_000033_000043.mp4
100,bending back,imzC-uAFf7Q,1,11,train,0,imzC-uAFf7Q_000001_000011.mp4
101,bending back,DurVrW5Xm1k,14,24,train,0,DurVrW5Xm1k_000014_000024.mp4
102,bending back,OugPHL-GwLQ,7,17,train,0,OugPHL-GwLQ_000007_000017.mp4
103,bending back,3MLeZTVs5Ro,1,11,train,0,3MLeZTVs5Ro_000001_000011.mp4
104,bending back,9yqIcYGJg8I,52,62,train,0,9yqIcYGJg8I_000052_000062.mp4
105,bending back,G0c6gkdadHc,63,73,train,0,G0c6gkdadHc_000063_000073.mp4
106,bending back,a64ut4Nnm8U,12,22,train,0,a64ut4Nnm8U_000012_000022.mp4
107,bending back,5ZAGxs_bHeA,0,10,train,0,5ZAGxs_bHeA_000000_000010.mp4
108,bending back,PSBq3whyBXs,75,85,train,0,PSBq3whyBXs_000075_000085.mp4
